N,P,K,ph,crop
36,72,15,5.59,millet
146,12,17,7.93,barley
96,46,49,6.46,wheat
153,14,10,7.99,barley
153,14,17,7.51,barley
27,66,18,5.63,millet
112,30,30,5.32,rice
160,62,66,6.32,sugarcane
22,74,19,5.96,millet
108,32,34,5.43,rice
66,59,56,6.94,maize
50,81,27,5.46,lentil
170,69,66,6.31,sugarcane
174,63,66,6.03,sugarcane
133,21,23,7.38,cotton
33,70,18,5.98,millet
102,39,32,5.19,rice
211,93,59,5.6,chickpea
43,99,27,5.42,lentil
181,79,38,7.1,soybean
209,99,54,5.34,chickpea
61,59,54,6.67,maize
149,18,11,7.68,barley
212,93,56,5.21,chickpea
159,13,18,7.69,barley
212,99,56,5.28,chickpea
81,44,43,6.4,wheat
181,76,37,7.11,soybean
29,62,15,5.6,millet
199,71,35,7.13,soybean
116,38,32,5.3,rice
77,57,59,6.6,maize
155,12,17,7.64,barley
153,15,18,7.77,barley
186,78,31,7.07,soybean
127,21,25,7.03,cotton
174,66,62,6.14,sugarcane
106,32,39,5.14,rice
137,27,24,7.46,cotton
37,72,16,5.87,millet
160,60,66,6.06,sugarcane
109,37,35,5.11,rice
195,79,38,6.9,soybean
95,43,47,6.28,wheat
203,94,58,5.37,chickpea
116,31,31,5.21,rice
159,13,19,7.56,barley
139,25,26,7.47,cotton
88,42,41,6.33,wheat
61,59,56,6.62,maize
120,23,21,7.12,cotton
198,76,37,7.09,soybean
141,16,19,7.59,barley
195,77,36,6.95,soybean
131,28,21,7.5,cotton
44,88,25,5.44,lentil
122,24,25,7.33,cotton
207,95,54,5.41,chickpea
64,56,53,7.0,maize
67,54,50,6.68,maize
94,41,40,6.44,wheat
50,99,23,5.3,lentil
34,77,10,5.88,millet
109,39,31,5.13,rice
96,48,41,6.14,wheat
185,73,34,7.16,soybean
66,58,55,6.73,maize
218,97,59,5.31,chickpea
27,61,11,5.56,millet
72,53,51,6.77,maize
167,66,69,6.06,sugarcane
114,38,31,5.09,rice
125,20,27,7.24,cotton
72,57,59,6.76,maize
66,50,52,6.8,maize
184,79,32,6.96,soybean
101,37,35,5.24,rice
32,73,12,5.76,millet
182,72,30,6.93,soybean
66,59,57,6.95,maize
210,92,51,5.3,chickpea
111,31,35,5.27,rice
165,67,65,6.17,sugarcane
132,23,28,7.1,cotton
167,62,68,6.15,sugarcane
137,26,28,7.47,cotton
127,24,22,7.41,cotton
128,23,29,7.39,cotton
213,99,50,5.42,chickpea
44,93,20,5.07,lentil
43,88,26,5.34,lentil
58,90,24,5.37,lentil
211,92,55,5.56,chickpea
85,47,46,6.29,wheat
124,23,20,7.11,cotton
133,28,28,7.19,cotton
219,91,58,5.48,chickpea
44,99,23,5.35,lentil
47,84,27,5.13,lentil
51,92,24,5.19,lentil
113,33,34,5.4,rice
164,69,67,6.21,sugarcane
156,15,13,7.65,barley
195,71,31,7.03,soybean
20,71,12,5.76,millet
62,53,52,6.84,maize
96,48,45,6.13,wheat
53,96,23,5.22,lentil
215,93,53,5.46,chickpea
78,59,54,6.99,maize
176,65,64,6.07,sugarcane
29,63,18,5.66,millet
145,12,13,7.68,barley
94,47,45,6.38,wheat
182,72,39,7.1,soybean
156,18,17,7.64,barley
58,95,26,5.02,lentil
103,36,37,5.14,rice
62,57,53,6.74,maize
155,18,12,7.61,barley
54,81,28,5.11,lentil
159,19,19,7.54,barley
59,80,20,5.24,lentil
174,64,69,6.26,sugarcane
123,25,27,7.41,cotton
152,14,18,7.93,barley
126,26,24,7.32,cotton
140,15,15,7.76,barley
216,96,56,5.34,chickpea
94,40,40,6.24,wheat
23,66,15,5.88,millet
139,28,28,7.47,cotton
113,36,34,5.19,rice
165,65,61,6.01,sugarcane
187,74,38,6.87,soybean
215,91,52,5.48,chickpea
106,33,30,5.23,rice
34,75,11,5.68,millet
95,40,46,6.1,wheat
193,79,35,7.15,soybean
115,34,34,5.15,rice
51,95,25,5.36,lentil
37,70,16,5.99,millet
119,38,32,5.0,rice
44,98,24,5.35,lentil
39,77,13,5.61,millet
177,60,64,6.21,sugarcane
96,47,42,6.31,wheat
96,42,45,6.32,wheat
147,19,12,7.58,barley
34,67,17,5.71,millet
28,72,19,5.94,millet
121,22,23,7.03,cotton
181,72,37,7.19,soybean
168,63,64,6.06,sugarcane
31,72,17,5.66,millet
173,67,62,6.21,sugarcane
111,33,39,5.06,rice
178,64,62,6.2,sugarcane
151,19,11,7.58,barley
114,33,36,5.14,rice
150,16,12,7.73,barley
46,88,20,5.44,lentil
103,35,30,5.28,rice
74,53,50,6.5,maize
116,39,37,5.19,rice
203,99,52,5.42,chickpea
196,71,34,7.02,soybean
188,76,32,6.87,soybean
66,55,58,6.61,maize
105,37,33,5.39,rice
213,97,59,5.54,chickpea
51,84,26,5.1,lentil
28,66,15,5.86,millet
111,31,37,5.08,rice
112,31,30,5.44,rice
74,58,59,6.98,maize
180,75,31,6.95,soybean
149,10,13,7.95,barley
167,63,68,6.28,sugarcane
189,75,35,6.88,soybean
121,20,21,7.06,cotton
162,63,60,6.29,sugarcane
126,25,20,7.14,cotton
178,64,61,6.2,sugarcane
43,84,29,5.25,lentil
